,Sensor Type No,Line No,Sensor No,Temp,Time
0,1,400,1,23.6563,2022-01-17 14:07:01
1,1,400,2,24.0026,2022-01-17 14:07:01
2,1,400,3,24.0789,2022-01-17 14:07:01
3,1,400,4,21.283,2022-01-17 14:07:01
4,1,400,5,48.8029,2022-01-17 14:07:01
5,1,400,6,19.4462,2022-01-17 14:07:01
6,1,400,7,19.7143,2022-01-17 14:07:01
7,1,400,8,23.8307,2022-01-17 14:07:01
8,1,400,9,55.8898,2022-01-17 14:07:01
9,1,400,10,43.0293,2022-01-17 14:07:01
10,1,400,11,51.7731,2022-01-17 14:07:01
11,1,400,12,33.6263,2022-01-17 14:07:01
12,1,400,13,23.4951,2022-01-17 14:07:01
13,1,400,14,21.332,2022-01-17 14:07:01
14,1,400,15,19.448,2022-01-17 14:07:01
15,1,400,16,20.0935,2022-01-17 14:07:01
16,1,400,1,23.6563,2022-01-17 14:07:02
17,1,400,2,24.0026,2022-01-17 14:07:02
18,1,400,3,24.0789,2022-01-17 14:07:02
19,1,400,4,21.283,2022-01-17 14:07:02
20,1,400,5,48.8029,2022-01-17 14:07:02
21,1,400,6,19.4462,2022-01-17 14:07:02
22,1,400,7,19.6824,2022-01-17 14:07:02
23,1,400,8,23.8307,2022-01-17 14:07:02
24,1,400,9,55.8898,2022-01-17 14:07:02
25,1,400,10,43.0293,2022-01-17 14:07:02
26,1,400,11,51.7731,2022-01-17 14:07:02
27,1,400,12,33.6263,2022-01-17 14:07:02
28,1,400,13,23.4951,2022-01-17 14:07:02
29,1,400,14,21.332,2022-01-17 14:07:02
30,1,400,15,19.448,2022-01-17 14:07:02
31,1,400,16,20.0935,2022-01-17 14:07:02
32,2,400,1,23.4198,2022-01-17 14:07:03
33,2,400,2,23.0592,2022-01-17 14:07:03
34,2,400,3,23.1727,2022-01-17 14:07:03
35,2,400,4,21.1737,2022-01-17 14:07:03
36,2,400,5,44.7398,2022-01-17 14:07:03
37,2,400,6,19.9024,2022-01-17 14:07:03
38,2,400,7,18.8832,2022-01-17 14:07:03
39,2,400,8,23.4342,2022-01-17 14:07:03
40,2,400,9,51.6102,2022-01-17 14:07:03
41,2,400,10,39.8815,2022-01-17 14:07:03
42,2,400,11,49.2773,2022-01-17 14:07:03
43,2,400,12,31.4148,2022-01-17 14:07:03
44,2,400,13,23.2839,2022-01-17 14:07:03
45,2,400,14,21.054,2022-01-17 14:07:03
46,2,400,15,19.6386,2022-01-17 14:07:03
47,2,400,16,19.4119,2022-01-17 14:07:03
48,2,400,1,23.4198,2022-01-17 14:07:04
49,2,400,2,23.0592,2022-01-17 14:07:04
50,2,400,3,23.1727,2022-01-17 14:07:04
51,2,400,4,21.1737,2022-01-17 14:07:04
52,2,400,5,44.7398,2022-01-17 14:07:04
53,2,400,6,19.9024,2022-01-17 14:07:04
54,2,400,7,18.8832,2022-01-17 14:07:04
55,2,400,8,23.4342,2022-01-17 14:07:04
56,2,400,9,51.6102,2022-01-17 14:07:04
57,2,400,10,39.8815,2022-01-17 14:07:04
58,2,400,11,49.2773,2022-01-17 14:07:04
59,2,400,12,31.4148,2022-01-17 14:07:04
60,2,400,13,23.2839,2022-01-17 14:07:04
61,2,400,14,21.054,2022-01-17 14:07:04
62,2,400,15,19.6386,2022-01-17 14:07:04
63,2,400,16,19.4119,2022-01-17 14:07:04
64,3,400,1,21.8961,2022-01-17 14:07:05
65,3,400,2,21.4411,2022-01-17 14:07:05
66,3,400,3,20.4346,2022-01-17 14:07:05
67,3,400,4,19.3179,2022-01-17 14:07:05
68,3,400,5,34.5298,2022-01-17 14:07:05
69,3,400,6,18.9841,2022-01-17 14:07:05
70,3,400,7,19.5006,2022-01-17 14:07:05
71,3,400,8,21.3826,2022-01-17 14:07:05
72,3,400,9,38.8432,2022-01-17 14:07:05
73,3,400,10,29.5483,2022-01-17 14:07:05
74,3,400,11,36.9082,2022-01-17 14:07:05
75,3,400,12,27.2455,2022-01-17 14:07:05
76,3,400,13,21.7279,2022-01-17 14:07:05
77,3,400,14,20.6301,2022-01-17 14:07:05
78,3,400,15,19.3293,2022-01-17 14:07:05
79,3,400,16,19.8851,2022-01-17 14:07:05
80,3,400,1,21.8961,2022-01-17 14:07:06
81,3,400,2,21.4411,2022-01-17 14:07:06
82,3,400,3,20.4346,2022-01-17 14:07:06
83,3,400,4,19.3179,2022-01-17 14:07:06
84,3,400,5,34.5298,2022-01-17 14:07:06
85,3,400,6,18.9841,2022-01-17 14:07:06
