,Sensor Type No,Line No,Sensor No,Temp,Time
0,1,400,1,23.6563,2022-01-17 14:07:01
1,1,400,2,24.0026,2022-01-17 14:07:01
2,1,400,3,24.0789,2022-01-17 14:07:01
3,1,400,4,21.283,2022-01-17 14:07:01
4,1,400,5,48.8029,2022-01-17 14:07:01
5,1,400,6,19.4462,2022-01-17 14:07:01
6,1,400,7,19.7143,2022-01-17 14:07:01
7,1,400,8,23.8307,2022-01-17 14:07:01
8,1,400,9,55.8898,2022-01-17 14:07:01
9,1,400,10,43.0293,2022-01-17 14:07:01
10,1,400,11,51.7731,2022-01-17 14:07:01
11,1,400,12,33.6263,2022-01-17 14:07:01
12,1,400,13,23.4951,2022-01-17 14:07:01
13,1,400,14,21.332,2022-01-17 14:07:01
14,1,400,15,19.448,2022-01-17 14:07:01
15,1,400,16,20.0935,2022-01-17 14:07:01
16,1,400,1,23.6563,2022-01-17 14:07:02
17,1,400,2,24.0026,2022-01-17 14:07:02
18,1,400,3,24.0789,2022-01-17 14:07:02
19,1,400,4,21.283,2022-01-17 14:07:02
20,1,400,5,48.8029,2022-01-17 14:07:02
21,1,400,6,19.4462,2022-01-17 14:07:02
22,1,400,7,19.6824,2022-01-17 14:07:02
23,1,400,8,23.8307,2022-01-17 14:07:02
24,1,400,9,55.8898,2022-01-17 14:07:02
25,1,400,10,43.0293,2022-01-17 14:07:02
26,1,400,11,51.7731,2022-01-17 14:07:02
27,1,400,12,33.6263,2022-01-17 14:07:02
28,1,400,13,23.4951,2022-01-17 14:07:02
29,1,400,14,21.332,2022-01-17 14:07:02
30,1,400,15,19.448,2022-01-17 14:07:02
31,1,400,16,20.0935,2022-01-17 14:07:02
32,1,400,1,23.8301,2022-01-17 14:08:02
33,1,400,2,24.2193,2022-01-17 14:08:02
34,1,400,3,24.2576,2022-01-17 14:08:02
35,1,400,4,21.438,2022-01-17 14:08:02
36,1,400,5,49.357,2022-01-17 14:08:02
37,1,400,6,19.4995,2022-01-17 14:08:02
38,1,400,7,19.7574,2022-01-17 14:08:02
39,1,400,8,24.1343,2022-01-17 14:08:02
40,1,400,9,57.0398,2022-01-17 14:08:02
41,1,400,10,43.8687,2022-01-17 14:08:02
42,1,400,11,52.4753,2022-01-17 14:08:02
43,1,400,12,34.152,2022-01-17 14:08:02
44,1,400,13,23.5966,2022-01-17 14:08:02
45,1,400,14,21.4694,2022-01-17 14:08:02
46,1,400,15,19.571,2022-01-17 14:08:02
47,1,400,16,20.1435,2022-01-17 14:08:02
48,1,400,1,23.8301,2022-01-17 14:08:03
49,1,400,2,24.2193,2022-01-17 14:08:03
50,1,400,3,24.2576,2022-01-17 14:08:03
51,1,400,4,21.438,2022-01-17 14:08:03
52,1,400,5,49.357,2022-01-17 14:08:03
53,1,400,6,19.4995,2022-01-17 14:08:03
54,1,400,7,19.7574,2022-01-17 14:08:03
55,1,400,8,24.1343,2022-01-17 14:08:03
56,1,400,9,57.0398,2022-01-17 14:08:03
57,1,400,10,43.8687,2022-01-17 14:08:03
58,1,400,11,52.4753,2022-01-17 14:08:03
59,1,400,12,34.152,2022-01-17 14:08:03
60,1,400,13,23.5966,2022-01-17 14:08:03
61,1,400,14,21.4694,2022-01-17 14:08:03
62,1,400,15,19.571,2022-01-17 14:08:03
63,1,400,16,20.1435,2022-01-17 14:08:03
64,1,400,1,24.0266,2022-01-17 14:09:03
65,1,400,2,24.3596,2022-01-17 14:09:03
66,1,400,3,24.4147,2022-01-17 14:09:03
67,1,400,4,21.5074,2022-01-17 14:09:03
68,1,400,5,50.3338,2022-01-17 14:09:03
69,1,400,6,19.4717,2022-01-17 14:09:03
70,1,400,7,19.7959,2022-01-17 14:09:03
71,1,400,8,24.2273,2022-01-17 14:09:03
72,1,400,9,57.6191,2022-01-17 14:09:03
73,1,400,10,44.4187,2022-01-17 14:09:03
74,1,400,11,53.7904,2022-01-17 14:09:03
75,1,400,12,34.5837,2022-01-17 14:09:03
76,1,400,13,23.8586,2022-01-17 14:09:03
77,1,400,14,21.633,2022-01-17 14:09:03
78,1,400,15,19.4366,2022-01-17 14:09:03
79,1,400,16,20.2363,2022-01-17 14:09:03
80,1,400,1,24.0266,2022-01-17 14:09:04
81,1,400,2,24.3596,2022-01-17 14:09:04
82,1,400,3,24.4147,2022-01-17 14:09:04
83,1,400,4,21.5074,2022-01-17 14:09:04
84,1,400,5,50.3338,2022-01-17 14:09:04
85,1,400,6,19.4717,2022-01-17 14:09:04
